X-axis angular rate(°/s),Z-axis angular rate(°/s),Z-axis angular rate(°/s),X-axis acceleration(m/s2),Z-axis acceleration(m/s2),Y-axis acceleration(m/s2),Number of satellites,HDOP,GNSS North Velocity(m/s),GNSS UP Velocity(m/s),GNSS East Velocity(m/s),GNSS height(m),GNSS longitude(°),GNSS latitude(°),Barometer height(m),GNSS calculation of heading(°)
0.00934,0.009202,0.025189,-0.126629,9.803068,0.028538,21,0.8398,-0.001059,-0.00088,-0.002937,43.337391,116.3407263,40.0044038,43.357056,-169.609009
-0.003408,0.001963,-0.001682,-0.11906,9.796302,0.030291,21,0.8398,-0.001059,-0.00088,-0.002937,43.337391,116.3407263,40.0044038,43.357056,-169.609009
-0.033799,0.004398,-0.014278,-0.120375,9.792584,0.034851,21,0.8398,-0.001059,-0.00088,-0.002937,43.337391,116.3407263,40.0044038,43.357056,-169.609009
-0.057585,0.003852,-0.000549,-0.125093,9.792157,0.035445,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.060953,-0.005941,0.008364,-0.122265,9.795876,0.038775,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.054587,-0.011129,0.015119,-0.121352,9.797953,0.044217,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.049611,-0.011495,0.022648,-0.123302,9.795932,0.047078,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.050791,-0.014438,0.028109,-0.125138,9.802597,0.055249,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.042879,-0.001156,0.011386,-0.128571,9.806808,0.056588,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.045239,0.020478,-0.011675,-0.130768,9.800119,0.055844,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.053573,0.026812,-0.016105,-0.135389,9.795942,0.060217,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.020511,0.009638,-0.016075,-0.13777,9.790191,0.06253,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
0.024735,-0.005907,-0.018128,-0.136188,9.77951,0.060808,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.024263,-0.011469,0.016955,-0.139714,9.800357,0.059266,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.029421,-0.018992,0.043367,-0.131209,9.831934,0.059512,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
0.086849,-0.033267,-0.020522,-0.119779,9.806561,0.052417,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
0.071306,-0.025492,-0.062802,-0.125699,9.778819,0.040487,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.05047,-0.002221,0.001178,-0.133855,9.808199,0.040846,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
0.004623,0.010433,0.019932,-0.1277,9.817299,0.048239,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
0.088373,0.018698,-0.054282,-0.125915,9.784298,0.046821,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
0.001596,0.02133,-0.024276,-0.136327,9.770761,0.038944,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.065204,0.024508,0.071337,-0.136405,9.786423,0.037584,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.021434,0.018951,0.044078,-0.128816,9.796785,0.037704,21,0.839807,0.045626,0.021968,-0.019016,43.326141,116.3407263,40.0044038,43.464329,-169.645615
-0.016883,-0.003763,-0.004115,-0.128222,9.806028,0.037538,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.041938,-0.017337,0.010837,-0.128266,9.811934,0.041664,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.029938,-0.019507,-0.008767,-0.128271,9.809431,0.043146,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.039304,-0.020373,-0.030444,-0.135408,9.814391,0.040031,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.054351,-0.010419,0.002375,-0.134746,9.818676,0.043516,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.028002,0.006767,0.023312,-0.127245,9.803392,0.047491,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.001918,0.024558,0.011857,-0.132292,9.784159,0.05053,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.002773,0.026466,0.01923,-0.134915,9.777424,0.055311,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.004647,0.018056,0.033892,-0.130491,9.772286,0.059082,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.00114,0.01396,0.02158,-0.129188,9.780242,0.061516,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.005657,0.001155,0.015536,-0.126706,9.803908,0.060038,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.013333,-0.012743,0.00825,-0.124776,9.811827,0.053232,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.001003,-0.014046,-0.014431,-0.124105,9.811926,0.046296,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
-0.013406,-0.008689,-0.014902,-0.127386,9.818851,0.043518,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.000805,-0.001963,-0.008309,-0.130342,9.816284,0.044755,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.01646,-0.001251,-0.017866,-0.129094,9.807568,0.047435,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.033359,0.011673,-0.009754,-0.131855,9.791622,0.042896,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.038486,0.017782,0.00427,-0.133751,9.776167,0.038376,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.042097,0.022674,-0.011801,-0.136085,9.772082,0.041285,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.030302,0.029792,-0.003979,-0.135162,9.785818,0.041438,21,0.839807,-0.045637,-0.0504,0.000509,43.330727,116.3407264,40.0044038,43.387283,-169.578079
0.006918,0.021605,0.022027,-0.132364,9.806397,0.04057,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.002717,0.001493,0.030845,-0.131582,9.807913,0.03733,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.032634,-0.012398,0.011899,-0.127228,9.801961,0.031017,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.068923,-0.011137,-0.004741,-0.126246,9.807754,0.038122,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.087731,-0.010601,0.008423,-0.124216,9.815431,0.047556,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.067141,-0.008111,0.004713,-0.122146,9.810057,0.044689,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.024852,-0.002325,-0.007783,-0.127207,9.791862,0.040346,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.011843,0.000341,-0.012206,-0.131347,9.784023,0.04117,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.01592,0.00397,-0.007044,-0.134612,9.788212,0.049514,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
0.005775,0.014735,-0.008455,-0.136896,9.787258,0.053642,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
0.009033,0.008476,-0.016628,-0.13909,9.786473,0.049057,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.037347,-0.001269,0.012476,-0.134578,9.797662,0.047719,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.075084,0.001407,0.045039,-0.124242,9.810271,0.052722,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.058907,-0.004191,0.026727,-0.125999,9.815974,0.054662,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.057756,-0.013443,0.014332,-0.128724,9.809861,0.050663,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.066678,-0.015575,0.017456,-0.126667,9.809892,0.052434,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
-0.02926,0.00038,0.003856,-0.127419,9.815528,0.055568,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
0.021567,0.01177,-0.022929,-0.127272,9.806266,0.056079,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
0.043813,0.016293,-0.03146,-0.130511,9.795216,0.057967,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
0.039554,0.015324,-0.00307,-0.133998,9.795132,0.055962,21,0.839816,0.022665,-0.007065,0.015904,43.332256,116.3407264,40.0044038,43.352436,-169.539124
0.049734,0.011288,0.009375,-0.132161,9.795905,0.053753,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.067019,0.012752,-0.003017,-0.131379,9.79281,0.054609,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.026058,0.007418,0.006076,-0.129715,9.795673,0.057271,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.004823,0.012009,0.022063,-0.12756,9.807274,0.05746,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.029415,0.012281,0.010414,-0.128401,9.806093,0.052759,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.037539,0.006335,-0.004767,-0.129705,9.79809,0.048685,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.005338,0.008328,0.014969,-0.128415,9.805352,0.045658,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.014104,0.013217,0.022473,-0.127179,9.809685,0.045301,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
